ID,Athlete_ID,Name,Sex,Age,Height,Weight,Country_Code,Region,Games,Year,Season,City,Sport,Event,Medal
41838,118702,Elmurat Zulypkarovich Tasmuradov,M,24,160.0,59.0,UZB,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,Wrestling Mens Featherweight Greco Roman,Bronze
41839,118715,Karoline Lusitania Tatafu,F,18,176.0,70.0,TGA,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Womens Individual,
41840,118720,Nur Tatar,F,23,173.0,67.0,TUR,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Womens Welterweight,Bronze
41841,118724,Anastasiya Alekseyevna Tatareva,F,19,165.0,44.0,RUS,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Womens Group,Gold
41842,118748,Tamara T Tatham,F,30,185.0,79.0,CAN,North America,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Womens Basketball,
41843,118750,Mikls Ttrai,M,29,183.0,97.0,HUN,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Mens Air Pistol 10 metres,
41844,118750,Mikls Ttrai,M,29,183.0,97.0,HUN,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Mens Free Pistol 50 metres,
41845,118756,Gemma Tattersall,F,31,165.0,69.0,GBR,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Three Day Event Individual,
41846,118756,Gemma Tattersall,F,31,165.0,69.0,GBR,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Three Day Event Team,
41847,118769,Pita Nikolas Taufatofua,M,32,192.0,100.0,TGA,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Mens Heavyweight,
41848,118778,Diana Lurena Taurasi,F,34,183.0,70.0,USA,North America,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Womens Basketball,Gold
41849,118802,Maria Leonor Ribeiro Tavares,F,30,165.0,55.0,POR,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens Pole Vault,
41850,118807,Ane Tavar,M,21,187.0,79.0,SLO,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Mens 100 metres Freestyle,
41851,118807,Ane Tavar,M,21,187.0,79.0,SLO,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Mens 200 metres Freestyle,
41852,118813,Alexandra Tavernier,F,22,170.0,82.0,FRA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens Hammer Throw,
41853,118818,Rebecca Tavo,F,33,172.0,75.0,FIJ,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Womens Rugby Sevens,
41854,118834,Hirokatsu Tayama,M,34,167.0,62.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Mens Olympic Distance,
41855,118838,Mohammed Amine Tayeb,M,30,190.0,100.0,ALG,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Mens Heavyweight,
41856,118846,Michael Tayler,M,24,175.0,69.0,CAN,North America,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,Canoeing Mens Kayak Singles Slalom,
41857,118866,Charlotte Louise Taylor,F,30,165.0,57.0,GBR,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Womens Lightweight Double Sculls,
41858,118870,Christian Taylor,M,26,188.0,81.0,USA,North America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens Triple Jump,Gold
41859,118917,Kathleen Taylor,F,30,165.0,60.0,IRL,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Womens Lightweight,
41860,118932,Penelope Jane Taylor,F,35,185.0,72.0,AUS,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Womens Basketball,
41861,118933,Peter Taylor,M,32,189.0,70.0,NZL,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Mens Lightweight Coxless Fours,
41862,118940,Ryan Grant Taylor,M,36,175.0,73.0,NZL,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Mens Small Bore Rifle Prone 50 metres,
41863,118959,Servet Tazegl,M,27,180.0,68.0,TUR,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Mens Featherweight,
41864,118970,Audrey Tcheumo,F,26,177.0,78.0,FRA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Womens Half Heavyweight,Silver
41865,118973,Alicja Maria Tchrz,F,23,176.0,68.0,POL,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Womens 4 x 100 metres Freestyle Relay,
